Capability,Original requirement,Current authority/application,Current implementation evidence,Primary classification,Test coverage,Hosted verification evidence,Known defect or limitation,Required for controlled pilot,Required for full replacement,Release blocker,Recommended action,Estimated implementation size,Dependencies,Risk
Shared Inbox list/detail,Central quote-request intake from quotes@ mailbox,Estimate Studio Shared Inbox → studioSharedInboxService / quote_intake_cases,FEATURE_DECISIONS §178; elite100EstimateStudioRoutes Shared Inbox; studioSharedInbox.test.mjs,BUILT — HOSTED VERIFICATION REQUIRED,eos:test:studio-shared-inbox (service+UI contracts),§178 shipped; README notes Phase 1 live; no dated E2E script in this audit,Mailbox webhook/delta deferred; auto-Takeoff bootstrap may surprise,Yes,Yes,No,Hosted smoke: list→detail→import one message,S,Graph env,Medium
Outlook/Graph intake (read-only),Import without mutating Outlook,quoteIntakeGraphClient assertGraphReadOnlyRequest,quoteIntakeGraphClient.mjs; golden-path gate forbids sendMail,BUILT — HOSTED VERIFICATION REQUIRED,studioSharedInbox + golden-path source guards,Documented in STUDIO_END_TO_END_PROCESS_AUDIT A,Sender allowlist deferred,Yes,Yes,No,Confirm Graph app permissions remain Mail.Read only,XS,Azure app,Low
Mailbox preview/import confirm,Explicit import with confirm:true,POST /api/quote-intake/mailbox/preview|import,quoteIntakeRoutes; importQuoteIntakeMailboxMessages,BUILT — HOSTED VERIFICATION REQUIRED,studioSharedInbox tests,Prior Studio process audit Fact,Attachment bytes deferred to Open/View plan,Yes,Yes,No,Hosted import of one PDF case,S,Graph+Storage,Medium
Duplicate prevention,No duplicate cases per message,internet_message_id / content_hash / graph_immutable_message_id,eliteos_quote_intake_v1.sql; findExistingCase,BUILT — HOSTED VERIFICATION REQUIRED,Unit/service tests in intake,Schema unique constraints in prod (assumed from prior apply),Content-hash collisions rare edge,Yes,Yes,No,None this week,XS,None,Low
Attachment metadata persistence,Store attachment metadata at import,quote_intake_attachments,intake services + §178,BUILT — HOSTED VERIFICATION REQUIRED,Shared Inbox tests,§178,Bytes not always at import time,Yes,Yes,No,None,XS,None,Low
Secure Plan Viewer,Authenticated plan viewing without credential leak,studioSecurePlanViewer authenticated byte streams,FEATURE_DECISIONS §179; routes 1704–1768,BUILT — HOSTED VERIFICATION REQUIRED,eos:test:studio-secure-plan-viewer,§179 Phase 1; range requests deferred,PDF/PNG/JPEG/WebP only; no malware scan,Yes,Yes,No,Hosted View plan on Shared Inbox attachment,S,Storage/Graph,Medium
Org scoping (intake/studio),Tenant isolation on all Studio paths,orgIdFor(req) + organization_id columns,elite100EstimateStudioRoutes staffStack; security-audit.mdc,BUILT — HOSTED VERIFICATION REQUIRED,Golden-path + many org-scope unit asserts,Longstanding Brain pattern; not re-proven this week,RLS maturity varies by table (SYSTEM_BLUEPRINT),Yes,Yes,Yes if broken,Spot-check cross-org denial on one GET,S,Auth,High
Customer/account matching,Link intake to Account Directory,Account Directory search + identity snapshot on studio_estimates,studio account-directory routes; AD snapshot columns,BUILT — HOSTED VERIFICATION REQUIRED,studio-account-directory-delivery-safety,Documented dual-track live vs frozen identity,Unlinked estimates still allowed,Yes,Yes,No,Train estimators on link-before-publish,S,AD data quality,Medium
Project/estimate creation from intake,Open estimate from case,openEstimateForIntakeCase; createManualEstimate,intakeOpenEstimateService.mjs; studioManualEstimateService.mjs,BUILT — HOSTED VERIFICATION REQUIRED,studio golden-path + manual estimate tests,STUDIO_END_TO_END A–B,Auto Takeoff soft-fail can leave case without job,Yes,Yes,No,Hosted Open Estimate after import,M,Takeoff bootstrap flag,Medium
AI Takeoff result creation,AI draft extraction needs_review,quote_takeoff_jobs/results + generation orchestrator,takeoffWorkspaceService; FEATURE_DECISIONS takeoff sections,BUILT — HOSTED VERIFICATION REQUIRED,takeoff-workspace-service; generation suites,Prior hosted Takeoff review bugs fixed in §139+,AI quality variable; not pricing authority,Yes,Yes,No,One hosted AI job success,M,AI provider keys,Medium
Manual Scope fallback,Staff geometry without AI,physicalScopeSource=manual_staff; confirmManualScope,FEATURE_DECISIONS §171–173; ManualPhysicalScopeEditor,BUILT — HOSTED VERIFICATION REQUIRED,studio-manual-estimate; physical-scope-authority; room-open-edge,Manual path documented as protected golden path,Cannot silently mix with Takeoff authority,Yes,Yes,No,Hosted New Estimate → confirm scope,M,None,Low
Multi-room Takeoff/Manual,≥3 rooms/areas,rooms[] arrays in takeoff + manual scope,ManualPhysicalScopeEditor; takeoff worksheet; seedScopeFromTakeoffPayload,BUILT — HOSTED VERIFICATION REQUIRED,approval-gate; manual scope tests; golden-path,Assumption: used in prior Studio pilots; no dated multi-room hosted script here,None material for geometry,Yes,Yes,No,Scenario 1 hosted,M,None,Medium
Multi-piece per room,Multiple pieces/runs per room,pieces arrays; PIECE_TYPES incl island/vanity_top,studioManualPhysicalScope.mjs; takeoff worksheet,BUILT — HOSTED VERIFICATION REQUIRED,exposed-edges; takeoff approval gate,Prior,None,Yes,Yes,No,Scenario 1,S,None,Low
Room names,Named rooms,room.name fields persisted,scope_json / normalized_takeoff_json,BUILT — HOSTED VERIFICATION REQUIRED,Unit tests,Prior,None,Yes,Yes,No,None,XS,None,Low
Piece dimensions & quantity,L/D/qty editable and saved,Takeoff correction + Manual Scope save,takeoffExplicitSave; saveManualScopeDraft,BUILT — HOSTED VERIFICATION REQUIRED,explicit-save; correction-workspace,§182–183,None,Yes,Yes,No,None,S,None,Low
Include/exclude,Exclude rooms/runs from pricing,include flags; approval gate filters excluded,takeoffApprovalGate.test.mjs T4/T4b,BUILT — HOSTED VERIFICATION REQUIRED,eos:test:takeoff-approval-gate,Prior,UI discoverability,Yes,Yes,No,None,XS,None,Low
Backsplash toggle/geometry,Independent backsplash eligibility/height,backsplashEligible + geometry; Pricing Setup billable BS,§180–182; studioEstimatePricing,BUILT — HOSTED VERIFICATION REQUIRED,save-persistence; exposed-edges; pricing tests,Prior hosted backsplash bugs fixed historically,Refresh persistence historically broken — repaired §183–184 not hosted-proven,Yes,Yes,Yes until hosted Save→refresh proves B,Hosted Save→refresh backsplash,M,Physical result rows,High
